match_id,date,team_A,team_B,gain_mpp_1,gain_mpp_N,gain_mpp_2,crowd_1,crowd_N,crowd_2,cote_1,cote_N,cote_2,phase,bet,result
1,2026-06-11,mexique,afrique_du_sud,49,125,148,0.82,0.1,0.08,1.5,4.1,6.75,Poule_J1,,
2,2026-06-12,coree_du_sud,tchequie,96,107,91,0.33,0.47,0.2,2.63,3.15,2.7,Poule_J1,,
3,2026-06-12,canada,bosnie,65,117,125,0.59,0.23,0.19,1.77,3.65,4.6,Poule_J1,,
4,2026-06-13,etats_unis,paraguay,74,113,115,0.62,0.22,0.16,1.97,3.65,3.8,Poule_J1,,
5,2026-06-13,qatar,suisse,172,141,33,0.05,0.07,0.88,10,5.6,1.29,Poule_J1,,
6,2026-06-14,bresil,maroc,55,122,140,0.49,0.3,0.21,1.63,3.9,5.3,Poule_J1,,
7,2026-06-14,haiti,ecosse,154,131,44,0.04,0.08,0.89,7,4.8,1.46,Poule_J1,,
8,2026-06-14,australie,turquie,126,115,66,0.09,0.21,0.7,4.4,3.6,1.82,Poule_J1,,
9,2026-06-14,allemagne,curacao,15,179,222,0.97,0.02,0.01,1.03,22,46,Poule_J1,,
10,2026-06-14,pays_bas,japon,74,115,113,0.62,0.24,0.13,2.02,3.6,3.55,Poule_J1,,
11,2026-06-15,cote_d_ivoire,equateur,108,101,85,0.35,0.44,0.21,3.35,3.1,2.35,Poule_J1,,
12,2026-06-15,suede,tunisie,72,110,122,0.64,0.26,0.11,1.94,3.4,4.2,Poule_J1,,
13,2026-06-15,espagne,cap_vert,16,166,217,0.97,0.02,0.01,1.08,11.5,25,Poule_J1,,
14,2026-06-15,belgique,egypte,57,122,135,0.76,0.17,0.07,1.68,3.9,4.85,Poule_J1,,
15,2026-06-16,arabie_saoudite,uruguay,146,125,50,0.07,0.13,0.8,6.1,4.1,1.52,Poule_J1,,
16,2026-06-16,iran,nouvelle_zelande,63,116,130,0.38,0.42,0.2,1.79,3.6,4.75,Poule_J1,,
17,2026-06-16,france,senegal,46,128,153,0.91,0.07,0.02,1.44,4.5,6.85,Poule_J1,,
18,2026-06-17,irak,norvege,178,144,30,0.02,0.05,0.93,10.5,5.8,1.27,Poule_J1,,
19,2026-06-17,argentine,algerie,43,129,159,0.82,0.12,0.06,1.4,4.5,8,Poule_J1,,
20,2026-06-17,autriche,jordanie,38,136,163,0.86,0.11,0.03,1.32,5.2,9,Poule_J1,,
21,2026-06-17,portugal,congo,34,140,170,0.95,0.04,0.01,1.27,5.6,10,Poule_J1,,
22,2026-06-17,angleterre,croatie,59,119,133,0.6,0.32,0.08,1.7,3.85,4.9,Poule_J1,,
23,2026-06-18,ghana,panama,73,113,116,0.64,0.3,0.06,1.96,3.6,3.85,Poule_J1,,
24,2026-06-18,ouzbekistan,colombie,157,130,44,0.03,0.07,0.9,7.5,4.4,1.43,Poule_J1,,
25,2026-06-18,tchequie,afrique_du_sud,62,112,142,0.61,0.25,0.14,2.1,3.15,4,Poule_J2,,
26,2026-06-18,suisse,bosnie,76,108,134,0.77,0.19,0.05,1.58,4.1,5.8,Poule_J2,,
27,2026-06-19,canada,qatar,71,104,148,0.81,0.14,0.05,1.53,3.95,7.5,Poule_J2,,
28,2026-06-19,mexique,coree_du_sud,69,117,129,0.59,0.27,0.13,1.85,3.4,4.6,Poule_J2,,
29,2026-06-19,etats_unis,australie,58,119,153,0.68,0.23,0.09,1.76,3.55,5,Poule_J2,,
30,2026-06-20,ecosse,maroc,99,112,91,0.07,0.24,0.7,3.75,3.2,2.1,Poule_J2,,
31,2026-06-20,bresil,haiti,21,167,198,0.97,0.02,0.01,1.05,15,51,Poule_J2,,
32,2026-06-20,turquie,paraguay,84,113,126,0.63,0.26,0.1,2.17,3.1,3.3,Poule_J2,,
33,2026-06-20,pays_bas,suede,67,122,131,0.66,0.27,0.07,1.72,3.8,4.75,Poule_J2,,
34,2026-06-20,allemagne,cote_d_ivoire,38,137,164,0.86,0.1,0.04,1.55,4.25,6,Poule_J2,,
35,2026-06-21,equateur,curacao,41,143,168,0.86,0.1,0.03,1.24,6.25,13,Poule_J2,,
36,2026-06-21,tunisie,japon,118,103,91,0.15,0.26,0.58,4.75,3.35,1.87,Poule_J2,,
37,2026-06-21,espagne,arabie_saoudite,31,139,176,0.97,0.02,0.01,1.13,8.5,23,Poule_J2,,
38,2026-06-21,belgique,iran,39,138,171,0.93,0.05,0.02,1.41,4.25,6.9,Poule_J2,,
39,2026-06-22,uruguay,cap_vert,72,109,137,0.89,0.08,0.03,1.45,4.5,7,Poule_J2,,
40,2026-06-22,nouvelle_zelande,egypte,148,116,59,0.08,0.17,0.75,5,3.6,1.75,Poule_J2,,
41,2026-06-22,argentine,autriche,63,105,132,0.84,0.12,0.04,1.65,3.75,5.5,Poule_J2,,
42,2026-06-22,france,irak,22,166,189,0.98,0.01,0,1.13,8,26,Poule_J2,,
43,2026-06-23,norvege,senegal,64,105,137,0.41,0.37,0.23,2.15,3.3,3.6,Poule_J2,,
44,2026-06-23,jordanie,algerie,152,139,67,0.05,0.11,0.84,4.7,3.65,1.77,Poule_J2,,
45,2026-06-23,portugal,ouzbekistan,24,154,173,0.97,0.02,0.01,1.2,7,17,Poule_J2,,
46,2026-06-23,angleterre,ghana,44,127,162,0.9,0.08,0.02,1.35,5,9,Poule_J2,,
47,2026-06-24,panama,croatie,165,123,36,0.03,0.06,0.91,6.5,4.3,1.5,Poule_J2,,
48,2026-06-24,colombie,congo,77,111,123,0.7,0.23,0.07,1.55,4,6.5,Poule_J2,,
49,2026-06-24,suisse,canada,68,106,129,0.59,0.33,0.08,2.07,3.8,3.94,Poule_J3,,
50,2026-06-24,bosnie,qatar,87,102,120,0.62,0.28,0.1,2.57,2.66,4.26,Poule_J3,,
51,2026-06-25,ecosse,bresil,145,124,48,0.05,0.1,0.86,7.5,4.8,1.4,Poule_J3,,
52,2026-06-25,maroc,haiti,29,159,187,0.95,0.03,0.02,1.15,9.09,44.71,Poule_J3,,
53,2026-06-25,tchequie,mexique,109,99,91,0.12,0.42,0.46,3.78,2.68,2.76,Poule_J3,,
54,2026-06-25,afrique_du_sud,coree_du_sud,117,103,87,0.14,0.31,0.55,4.1,3.63,2.08,Poule_J3,,
55,2026-06-25,equateur,allemagne,145,129,42,0.05,0.13,0.82,7.83,4.89,1.5,Poule_J3,,
56,2026-06-25,curacao,cote_d_ivoire,163,118,53,0.03,0.07,0.9,7.93,3.96,1.61,Poule_J3,,
57,2026-06-26,tunisie,pays_bas,131,123,56,0.05,0.13,0.82,6.53,4.59,1.59,Poule_J3,,
58,2026-06-26,japon,suede,96,108,111,0.35,0.44,0.21,2.48,3.12,3.61,Poule_J3,,
59,2026-06-26,turquie,etats_unis,109,102,93,0.4,0.35,0.25,3.46,2.89,2.74,Poule_J3,,
60,2026-06-26,paraguay,australie,74,104,131,0.54,0.31,0.15,2.04,2.9,6.05,Poule_J3,,
61,2026-06-26,norvege,france,141,108,68,0.05,0.19,0.77,5.77,3.7,1.8,Poule_J3,,
62,2026-06-26,senegal,irak,54,115,149,0.92,0.06,0.02,1.53,5.04,6.72,Poule_J3,,
63,2026-06-27,uruguay,espagne,143,112,57,0.03,0.14,0.83,9.11,3.59,1.63,Poule_J3,,
64,2026-06-27,cap_vert,arabie_saoudite,99,123,94,0.14,0.51,0.35,2.8,3.75,2.66,Poule_J3,,
65,2026-06-27,nouvelle_zelande,belgique,172,129,32,0.03,0.05,0.92,22.04,4.74,1.34,Poule_J3,,
66,2026-06-27,egypte,iran,85,114,123,0.71,0.24,0.05,2.03,3.29,4.92,Poule_J3,,
67,2026-06-27,panama,angleterre,168,137,32,0.02,0.03,0.95,10.78,6.57,1.32,Poule_J3,,
68,2026-06-27,croatie,ghana,57,120,138,0.74,0.2,0.06,1.88,3.96,4.62,Poule_J3,,
69,2026-06-28,colombie,portugal,154,102,55,0.05,0.19,0.75,7.45,2.9,1.92,Poule_J3,,
70,2026-06-28,congo,ouzbekistan,63,107,158,0.69,0.25,0.07,1.86,2.67,11.44,Poule_J3,,
71,2026-06-28,jordanie,argentine,165,145,32,0.02,0.03,0.95,8.04,9.73,1.29,Poule_J3,,
72,2026-06-28,algerie,autriche,96,103,107,0.38,0.41,0.21,2.83,3.28,2.92,Poule_J3,,
